bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
2,PSR Travels Goa,A/C Sleeper (2+1),19:15,10h 00m,05:15,3.7,1099,24
2,Atmaram Gobus,NON A/C Sleeper (2+1),21:02,10h 30m,07:32,4.7,660,17
2,Atmaram Travels ( Dolphin ),AC Sleeper (2+1),18:30,11h 00m,05:30,3.6,850,23
2,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,10h 30m,06:30,3.8,799,29
2,VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),18:30,10h 30m,05:00,3.4,900,22
2,Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:00,12h 05m,08:05,3.7,3000,13
2,Anand Travels,NON A/C Sleeper (2+1),18:00,10h 00m,04:00,3.1,819,14
2,Atmaram Travels ( Gogte ),NON A/C Sleeper (2+1),21:15,10h 30m,07:45,3.5,5000,36
2,Manish Roshan Travels,A/C Sleeper (2+1),18:00,11h 30m,05:30,3.6,900,29
2,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),15:30,11h 00m,02:30,3.9,1000,15
2,Atmaram Travels Goa,A/C Sleeper (2+1),22:31,10h 00m,08:31,4.2,1350,24
2,Jolly Tours and Travels,VE A/C Sleeper (2+1),17:30,11h 15m,04:45,3.5,1799,10
2,Sai Travels - Shree Sai,NON A/C Push Back (2+2),17:30,11h 30m,05:00,3.2,5000,45
2,AAINATH TRAVELS,A/C Sleeper (2+1),21:30,09h 00m,06:30,2.5,2800,23
2,Manish Travels,A/C Seater / Sleeper (2+1),16:30,11h 30m,04:00,2.2,700,31
2,SIDDHANTH TRANSPORT,A/C Seater Push Back (2+2),17:00,10h 55m,03:55,4.3,5000,49
2,Maa tours & Travels,A/C Seater (2+2),16:00,12h 00m,04:00,1.7,1000,49
2,VRL Travels,A/C Sleeper (2+1),20:00,11h 00m,07:00,3.4,1000,24
2,VRL Travels,A/C Sleeper (2+1),19:30,10h 00m,05:30,3.8,1400,8
3,Zingbus Plus,VE A/C Sleeper (2+1),20:00,16h 25m,12:25,4.7,695,22
3,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,17h 00m,10:00,4.5,663,19
3,IntrCity SmartBus,AC Sleeper (2+1),17:00,15h 15m,08:15,4.3,744,19
3,AdVaibhav travels,A/C Sleeper (2+1),18:00,18h 00m,12:00,3.7,925,30
3,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:30,17h 00m,06:30,4.3,910,32
3,IntrCity SmartBus,AC Sleeper (2+1),16:00,16h 20m,08:20,4.2,600,33
3,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,17h 00m,08:30,4.3,860,21
3,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:35,12h 30m,07:05,3.9,900,21
3,Mascot Travels(M.Dev),A/C Sleeper (2+1),17:30,17h 15m,10:45,3.9,569,20
3,IntrCity SmartBus,AC Sleeper (2+1),20:55,13h 50m,10:45,3.8,600,27
3,IntrCity SmartBus,AC Sleeper (2+1),19:15,14h 30m,09:45,3.8,600,30
3,GANESH PRASAD TRAVELS,NON A/C Seater (2+2),20:00,13h 55m,09:55,,2500,49
3,GANESH PRASAD TRAVELS,A/C Seater (2+2),21:00,13h 55m,10:55,,2500,49
3,Konkan Travels National,A/C Sleeper (2+1),18:00,16h 55m,10:55,3.8,799,12
3,Dolphin travel house,A/C Sleeper (2+1),17:45,17h 00m,10:45,3.6,860,27
3,Shubham Vailankanni Travels,VE A/C Sleeper (2+1),20:30,15h 35m,12:05,3.4,850,27
3,Dolphin Travel House (39),A/C Sleeper (2+1),16:30,16h 45m,09:15,3.0,860,35
3,Konkan Travels National,NON A/C Sleeper (2+1),19:25,14h 20m,09:45,3.9,617,27
3,Abhishek Vishal Travels,NON A/C Push Back (2+2),14:50,16h 20m,07:10,3.0,700,35
3,Global Travel Agency (GTA),A/C Sleeper (2+1),17:50,17h 45m,11:35,3.9,699,29
3,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),16:50,16h 20m,09:10,3.6,1000,30
3,Shubham Saijyoti Travels,A/C Sleeper (2+1),20:55,14h 05m,11:00,3.6,750,27
3,Dolphin travel house,A/C Sleeper (2+1),20:45,15h 45m,12:30,3.3,860,30
3,Mascot Travels(M.Dev),A/C Sleeper (2+1),19:00,17h 00m,12:00,4.6,569,20
3,Anand Travels,NON A/C Sleeper (2+1),16:50,16h 40m,09:30,3.2,594,17
3,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),16:50,16h 20m,09:10,3.2,1000,30
3,Naik Tours And Travels,Bharat Benz A/C Sleeper (2+1),20:30,13h 30m,10:00,2.3,1200,24
3,Roshan Travels - Humrahi,Benz A/C Sleeper (2+1),18:45,17h 00m,11:45,2.7,3450,22
3,Maa tours & Travels,A/C Seater (2+2),17:20,16h 40m,10:00,2.1,900,20
3,Atmaram Travels,A/C Seater / Sleeper (2+1),20:00,15h 00m,11:00,2.8,540,27
3,Naik Tours And Travels,AC Seater (2+2),22:00,12h 00m,10:00,1.6,1200,39
3,Roshan Travels - Humrahi,A/C Sleeper (2+1),18:00,16h 30m,10:30,2.1,599,25
3,Atmaram Travels,A/C Seater / Sleeper (2+1),16:45,16h 15m,09:00,2.5,720,16
3,Global Travel Agency (GTA),A/C Sleeper (2+1),18:30,17h 45m,12:15,3.6,800,29
3,Konkan Travels National,A/C Sleeper (2+1),19:25,14h 20m,09:45,3.5,759,27
3,Atmaram Travels,A/C Sleeper (2+1),17:45,15h 00m,08:45,2.5,833,18
4,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,14h 55m,09:05,4.5,791,19
4,Zingbus Plus,VE A/C Sleeper (2+1),20:25,15h 25m,11:50,4.6,961,22
4,IntrCity SmartBus,AC Sleeper (2+1),19:30,14h 10m,09:40,4.5,1534,6
4,AdJolly Tours and Travels,VE A/C Sleeper (2+1),18:25,12h 05m,06:30,4.1,1799,10
4,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),14:00,15h 15m,05:15,4.5,1099,23
4,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:30,12h 40m,08:10,4.4,1099,11
4,Zingbus Plus,VE A/C Sleeper (2+1),19:40,15h 05m,10:45,4.5,785,26
4,IntrCity SmartBus,AC Sleeper (2+1),21:00,14h 20m,11:20,4.3,786,20
4,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,13h 50m,11:50,4.3,899,26
4,IntrCity SmartBus,AC Sleeper (2+1),18:30,14h 30m,09:00,4.2,1035,10
4,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),17:30,15h 55m,09:25,4.2,950,23
4,Giroba Travels (Shree),A/C Sleeper (2+1),16:30,14h 40m,07:10,,3000,29
4,Giroba Travels,NON A/C Airbus (2+2),16:01,14h 59m,07:00,,3300,49
4,Giroba Travels (Shree),A/C Seater Hi-Tech Push Back (2+2),17:00,13h 10m,06:10,,2000,40
4,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,14h 35m,10:35,4.2,799,29
4,"National Travels,Goa",A/C Sleeper (2+1),19:30,15h 00m,10:30,4.2,699,20
4,IntrCity SmartBus,AC Sleeper (2+1),20:00,14h 20m,10:20,4.0,762,20
4,"National Travels,Goa",NON A/C Sleeper (2+1),18:30,13h 00m,07:30,4.0,700,22
4,Atmaram Travels Goa,A/C Sleeper (2+1),19:00,14h 35m,09:35,3.7,800,30
4,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),16:30,15h 20m,07:50,3.7,909,26
4,VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),20:40,12h 50m,09:30,3.7,900,24
4,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),15:30,15h 15m,06:45,4.1,1000,15
4,Atmaram Travels ( Dolphin ),AC Sleeper (2+1),18:30,16h 00m,10:30,3.6,850,23
4,Atmaram Travels (Vishal),Non AC Seater (2+2),18:10,15h 10m,09:20,3.6,450,31
4,Manish Roshan Travels,A/C Sleeper (2+1),19:30,14h 00m,09:30,3.5,900,29
4,Atmaram Travels(M.Dev),A/C Sleeper (2+1),21:02,13h 55m,10:57,4.0,850,23
4,Anand Travels,NON A/C Sleeper (2+1),19:30,12h 00m,07:30,3.2,819,12
4,Naik Tours And Travels,NON A/C Sleeper (2+1),16:20,14h 45m,07:05,4.0,713,24
4,Sai Travels - Saijyoti,A/C Sleeper (2+1),19:45,14h 50m,10:35,3.7,899,28
4,Naik Tours And Travels,NON A/C Sleeper (2+1),18:20,12h 45m,07:05,2.7,950,26
4,Naik Tours And Travels,Bharat Benz A/C Sleeper (2+1),18:20,13h 50m,08:10,2.4,1235,25
4,Manish Roshan Travels,Bharat Benz A/C Sleeper (2+1),17:30,14h 00m,07:30,2.6,900,24
4,AAINATH TRAVELS,A/C Sleeper (2+1),21:30,14h 40m,12:10,2.2,2999,23
4,Manish Travels,A/C Seater / Sleeper (2+1),18:00,14h 00m,08:00,2.2,700,31
4,Manish Travels,Non AC Seater (2+2),18:30,14h 30m,09:00,2.7,600,28
4,SIDDHANTH TRANSPORT,A/C Seater Push Back (2+2),17:20,15h 25m,08:45,4.3,5000,49
4,Sai Travels,NON A/C Sleeper (2+1),17:30,15h 30m,09:00,3.6,5000,31
4,Sai Travels,A/C Sleeper (2+1),19:15,14h 45m,10:00,3.6,4000,27
4,Maa tours & Travels,A/C Seater (2+2),16:30,14h 15m,06:45,1.7,1000,49
4,VRL Travels,A/C Sleeper (2+1),19:30,14h 30m,10:00,3.0,1400,8
5,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,12h 45m,10:00,3.3,735,10
6,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,13h 15m,10:15,4.6,1299,16
6,Sunrise Tours and Travels,A/C Sleeper (2+1),21:20,12h 55m,10:15,4.5,1599,1
6,Streamline tours and travels,A/C Sleeper (2+1),21:15,13h 00m,10:15,4.1,1100,25
6,IntrCity SmartBus,AC Sleeper (2+1),20:30,13h 10m,09:40,4.2,942,18
6,Streamline tours and travels,A/C Sleeper (2+1),22:20,12h 55m,11:15,4.0,1100,24
6,Shanta Travels,NON A/C Sleeper (2+1),19:30,12h 45m,08:15,4.1,749,19
6,Sea Bird Tourist,NON A/C Sleeper (2+1),20:30,13h 30m,10:00,3.4,700,23
6,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,13h 00m,12:30,3.4,700,33
6,Sea Bird Tourist,NON A/C Sleeper (2+1),18:00,13h 00m,07:00,3.2,700,25
6,Sugama Tourist,NON A/C Sleeper (2+1),20:30,11h 15m,07:45,3.5,950,34
6,Anand Travels,NON A/C Sleeper (2+1),19:00,12h 00m,07:00,3.0,660,20
6,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:30,13h 00m,11:30,3.1,700,39
6,Sea Bird Tourist,A/C Sleeper (2+1),21:15,13h 00m,10:15,2.8,800,25
6,Sea Bird Tourist,A/C Sleeper (2+1),19:00,13h 00m,08:00,2.8,800,25
6,SRS Travels,NON AC Seater / Sleeper 2+1,20:00,13h 30m,09:30,2.3,699,21
6,SRS Travels,NON AC Seater / Sleeper 2+1,20:00,12h 30m,08:30,2.5,699,21
6,Sugama Tourist,NON A/C Sleeper (2+1),20:30,12h 15m,08:45,2.9,950,34
6,Sea Bird Tourist,A/C Sleeper (2+1),22:15,13h 00m,11:15,2.1,800,24
6,Sugama Tourist,NON A/C Sleeper (2+1),20:30,11h 45m,08:15,3.9,950,34
6,Janatha Travels,NON A/C Sleeper (2+1),20:45,11h 45m,08:30,3.5,12345,12
6,VRL Travels,NON A/C Sleeper (2+1),20:00,13h 30m,09:30,3.4,900,19
6,VRL Travels,A/C Sleeper (2+1),21:00,13h 45m,10:45,3.1,1000,17
7,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,12h 00m,07:00,3.2,735,31
8,Kadamba Transport Corporation Limited (KTCL) - 6020,Non AC Seater 2+2,16:00,03h 45m,19:45,2.9,170,28
8,Humsafar Travels,A/C Sleeper (2+1),04:30,04h 30m,09:00,1.3,550,12
8,S R Travels,NON A/C Sleeper (2+1),01:00,05h 00m,06:00,1.2,799,11
9,Kadamba Transport Corporation Limited (KTCL) - 5633,Volvo AC Seater 2+2,18:30,14h 00m,08:30,3.9,1000,5
9,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,13h 15m,07:15,4.5,2499,2
9,Sunrise Tours and Travels,A/C Sleeper (2+1),18:30,12h 40m,07:10,4.4,2299,8
9,Streamline tours and travels,A/C Sleeper (2+1),18:00,12h 30m,06:30,4.2,2050,21
9,IntrCity SmartBus,AC Sleeper (2+1),19:00,13h 35m,08:35,4.2,2882,9
9,Streamline tours and travels,A/C Sleeper (2+1),19:00,12h 30m,07:30,4.0,1970,19
9,Shanta Travels,NON A/C Sleeper (2+1),18:15,13h 00m,07:15,4.0,1510,15
9,Sea Bird Tourist,A/C Sleeper (2+1),20:30,13h 00m,09:30,3.4,1400,15
9,Sri Tourist,A/C Sleeper (2+1),17:30,13h 20m,06:50,,1299,24
9,Sri Sai Logistics,A/C Sleeper (2+1),17:30,12h 30m,06:00,3.9,1600,12
9,Sugama Tourist,NON A/C Sleeper (2+1),19:45,12h 00m,07:45,3.3,1400,19
9,Sea Bird Tourist,NON A/C Sleeper (2+1),18:30,14h 00m,08:30,2.9,1000,20
9,Sea Bird Tourist,NON A/C Sleeper (2+1),17:30,14h 00m,07:30,3.2,1000,22
9,Anand Travels,NON A/C Sleeper (2+1),18:30,12h 15m,06:45,2.6,1310,3
9,SRS Travels,NON AC Seater / Sleeper 2+1,18:00,13h 30m,07:30,2.5,999,33
9,SRS Travels,NON AC Seater / Sleeper 2+1,19:00,12h 30m,07:30,2.6,999,33
9,Sugama Tourist,NON A/C Sleeper (2+1),18:00,13h 45m,07:45,3.2,1400,19
9,Sea Bird Tourist,A/C Sleeper (2+1),17:00,14h 00m,07:00,1.9,1200,10
9,Sugama Tourist,NON A/C Sleeper (2+1),19:00,12h 45m,07:45,2.7,1400,19
9,Sri Tourist,A/C Sleeper (2+1),17:30,13h 20m,06:50,2.9,1199,19
9,GreenLine Travels And Holidays,A/C Sleeper (2+1),18:50,12h 40m,07:30,4.3,2100,9
9,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),19:00,12h 30m,07:30,3.0,900,27
9,Sri Sai Logistics,A/C Sleeper (2+1),17:00,13h 05m,06:05,3.5,1500,5
9,Streamline tours and travels,A/C Sleeper (2+1),17:15,12h 30m,05:45,3.8,1999,28
9,Northern Travels,Bharat Benz A/C Sleeper (2+1),21:00,11h 20m,08:20,1.5,1699,29
9,Janatha Travels,NON A/C Sleeper (2+1),19:00,11h 35m,06:35,3.5,12345,17
9,VRL Travels,A/C Sleeper (2+1),20:00,14h 00m,10:00,2.9,2100,12
9,VRL Travels,A/C Seater / Sleeper (2+1),19:00,14h 00m,09:00,3.3,1000,26
9,VRL Travels,NON A/C Sleeper (2+1),18:00,14h 00m,08:00,4.2,1800,3
10,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,20:00,14h 00m,10:00,2.9,850,10
10,S R Travels,A/C Seater/Sleeper (2+1),18:45,12h 15m,07:00,2.9,800,39
10,Sharma Travels,AC Sleeper (2+1),23:01,10h 00m,09:01,3.9,1715,1
10,Humsafar Travels,A/C Sleeper (2+1),23:30,09h 30m,09:00,3.4,1350,21
11,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07h 30m,02:30,3.4,420,31
11,Ashoka Travels,A/C Sleeper (2+1),08:30,06h 20m,14:50,3.4,500,27
11,Neeta tours and travels,AC Sleeper (2+1),12:30,06h 30m,19:00,3.4,499,21
11,Shri Ganesh Travels,A/C Seater (2+2),14:00,06h 00m,20:00,3.2,999,31
11,Asmat Travels,Non AC Seater (2+2),14:30,06h 00m,20:30,3.1,500,35
11,IntrCity SmartBus,AC Sleeper (2+1),15:30,06h 15m,21:45,4.5,550,16
11,Vaibhav Travels,A/C Sleeper (2+1),16:00,07h 00m,23:00,3.4,300,31
11,IntrCity SmartBus,AC Sleeper (2+1),16:30,06h 00m,22:30,4.1,550,12
11,"National Travels,Goa",NON A/C Sleeper (2+1),19:00,05h 45m,00:45,3.7,650,24
11,Vaibhav Travels,A/C Sleeper (2+1),20:00,10h 12m,06:12,3.6,500,26
11,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,05h 30m,01:30,4.4,400,35
11,Manish Travels,A/C Seater / Sleeper (2+1),16:30,06h 55m,23:25,2.7,700,31
11,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06h 30m,01:30,2.5,599,28
11,Gujarat Travels,AC Sleeper (2+1),12:40,06h 15m,18:55,3.4,1140,34
11,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),14:00,06h 30m,20:30,4.7,1099,23
11,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),15:30,06h 15m,21:45,3.9,1000,15
11,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),16:30,06h 30m,23:00,3.3,909,26
11,IntrCity SmartBus,AC Sleeper (2+1),17:00,07h 40m,00:40,4.1,1614,30
11,Sai Travels - Shree Sai,NON A/C Push Back (2+2),17:30,08h 00m,01:30,3.6,5000,45
11,IntrCity SmartBus,AC Sleeper (2+1),17:30,06h 55m,00:25,3.9,1061,13
